Comment,Designator,Footprint,LCSC,Quantity
0ZCG0050AF2C,"F1,F2",FUSC4632X70N,C3762102,2
100nF,"C1,C15,C19,C6",C_0805_2012Metric,C49678,4
10K,"R13,R14,R8",R_0805_2012Metric,C17414,3
10nF,C17,C_0805_2012Metric,C1710,1
124K,R1,R_0805_2012Metric,C2902861,1
1uF,C7,C_0805_2012Metric,C28323,1
22.1K,R2,R_0805_2012Metric,C865310,1
22pF,"C13,C14",C_0805_2012Metric,C1804,2
22uF,"C10,C4,C8,C9",C_0805_2012Metric,C45783,4
256Kb,IC5,SOIC127P600X175-8N,C90485,1
3K,R5,R_0805_2012Metric,C17661,1
4.7uF,C16,C_0805_2012Metric,C1779,1
4.7uH,L2,L_1210_3225Metric,C1330201,1
470uF,C2,CP_Elec_8x10.5,C48935389,1
560R,"R18,R19",R_0805_2012Metric,C28636,2
6k8,R15,R_0805_2012Metric,C17772,1
820R,R6,R_0805_2012Metric,C17837,1
ABM-40MHZ,Y1,ABM3,C1986264,1
DMG2305UX-7,Q1,SOT96P240X115-3N,C150470,1
LED,"D1,D12,D4,D7",LED_0805_2012Metric,C2297,4
M7,"D2,D3",D_SMA,C22448047,2
MCP2518FD,IC2,SOIC-14_3.9x8.7mm_P1.27mm,C626758,1
MCP2562FD,IC3,SOIC-8_3.9x4.9mm_P1.27mm,C511335,1
TPS54228DR,IC6,SOIC127P600X170-9N,C263275,1
button,"SW1,SW2,SW3",SW_Push_1P1T_XKB_TS-1187A,C318884,3
power-usage-100mA,REF**,power-usage-100mA,,1
LOGO,G***,lcc-logo-registered-medium,,1
